date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:23	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202025%2009:11:21%20GMT	https://tradteleradiology.com/robots.txt		(from )
14:41:23	111597/111597	---M-Z	200	added ('OK')	text/html	date:Wed,%2014%20May%202025%2009:11:22%20GMT	https://tradteleradiology.com/	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/index.html	(from )
14:41:23	116363/116363	---M-Z	200	added ('OK')	text/css	etag:%22e8621-1c68b-632d90e8d0df2-gzip%22	https://tradteleradiology.com/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/wp-includes/css/dist/block-library/style.min0899.css	(from https://tradteleradiology.com/)
14:41:23	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202025%2009:11:22%20GMT	https://tradteleradiology.com/feed/	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/feed/index.html	(from https://tradteleradiology.com/)
14:41:23	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22e8ebe-b4e-617db9f3b3c40-gzip%22	https://tradteleradiology.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.4	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/wp-content/plugins/contact-form-7/includes/css/styles9bd2.css	(from https://tradteleradiology.com/)
14:41:24	725/725	---M-Z	200	added ('OK')	text/css	etag:%22e9735-2d5-6155f525a7400-gzip%22	https://tradteleradiology.com/wp-content/plugins/ctcore/assets/css/cms-style.css?ver=6.8.1	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/wp-content/plugins/ctcore/assets/css/cms-style0899.css	(from https://tradteleradiology.com/)
14:41:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20May%202025%2009:11:23%20GMT	https://tradteleradiology.com/comments/feed/	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/comments/feed/index.html	(from https://tradteleradiology.com/)
14:41:24	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%22e973d-b78-6155f525a7400-gzip%22	https://tradteleradiology.com/wp-content/plugins/ctcore/assets/css/owl.carousel.min.css?ver=6.8.1	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/wp-content/plugins/ctcore/assets/css/owl.carousel.min0899.css	(from https://tradteleradiology.com/)
14:41:24	127343/127343	---M-Z	200	added ('OK')	text/css	etag:%22e89f1-1f16f-6155f4ea86880-gzip%22	https://tradteleradiology.com/wp-content/themes/trad/assets/css/bootstrap.min.css?ver=4.0.0	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/wp-content/themes/trad/assets/css/bootstrap.mincce7.css	(from https://tradteleradiology.com/)
14:41:24	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22e89eb-791c-6155f4ea86880-gzip%22	https://tradteleradiology.com/wp-content/themes/trad/assets/css/font-awesome.min.css?ver=4.7.0	D:/html%20and%20css%20,%20bootstrap/trad/tradteleradiology.com/wp-content/themes/trad/assets/css/font-awesome.min1849.css	(from https://tradteleradiology.com/)
